"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0000157",0.310562702823309,5.73815588836471,11.7948460543747,1.79801667805873e-14,1.95174710403275e-10,22.8826382266149
"FBgn0263974",0.350840871410346,1.10207279685228,11.139718697905,1.02269451701571e-13,5.55067449110278e-10,20.9902208858032
"FBgn0032538",1.03391817538192,2.93969647390693,8.81168804510551,7.71115682232113e-11,2.79015357687653e-07,14.457318300174
"FBgn0053302",0.445389041951602,0.314823780554118,8.13595297672288,5.98251608954973e-10,1.62350530380156e-06,12.367858634537
"FBgn0032693",0.295221903942311,4.89462275634911,7.74896414159679,1.97761240400068e-09,4.29339652908548e-06,11.3616761268305
"FBgn0030608",0.198091583394316,8.54361861934058,7.61127728508146,3.03690975091484e-09,5.4942758910301e-06,10.8936133049044
"FBgn0040813",-0.93516265927151,-1.23083287193454,-7.53015878853333,3.91327649694348e-09,6.06837376776022e-06,10.6860580542655
"FBgn0002573",0.239788381152727,2.12188636521995,7.3600337202214,6.67233347002079e-09,9.05352247713445e-06,10.3502121409914
"FBgn0265045",-0.233556095260117,3.83343433035436,-7.07838103095221,1.62241410059159e-08,1.95681167354686e-05,9.32035297515809
"FBgn0262567",-0.436223701782957,-1.02169039316246,-7.02731368422226,1.90721172217243e-08,1.97097331326052e-05,9.16991915169198
"FBgn0030941",0.138385919784455,5.41290493066697,7.01275009217927,1.99730137686465e-08,1.97097331326052e-05,9.01407464986265
"FBgn0086365",0.0969250099439328,4.73102536806981,6.87876285847064,3.05589744549525e-08,2.76431389757091e-05,8.65755407645938
"FBgn0004360",0.179765688472307,5.00707849126868,6.55721129913876,8.51508632285193e-08,7.0776760999532e-05,7.60705174982456
"FBgn0034197",-0.496920672558946,-4.99020770353624,-6.5354478580401,9.1282787102114e-08,7.0776760999532e-05,6.79431279238347
"FBgn0037207",-0.110772706405598,3.94784458510916,-6.49725372351095,1.03135611762219e-07,7.34566560998938e-05,7.4443245769939
"FBgn0267728",0.0992882437496077,5.44072880597426,6.48204959300952,1.08273283979576e-07,7.34566560998938e-05,7.31895421870037
"FBgn0040104",-0.622768925570871,-2.12983943184056,-6.44446944534804,1.22101622986896e-07,7.79654775013385e-05,6.96736316392614
"FBgn0262563",-0.653488867882227,-1.62032554808043,-6.36095193198049,1.59516033106305e-07,9.61970299649409e-05,7.20693131866546
"FBgn0259986",0.287462233925181,5.87469800552753,6.30824776842574,1.88845084454461e-07,0.000104898545661926,6.80430976994168
"FBgn0039807",0.413988524785583,1.76015392238264,6.28961068818855,2.00462844263155e-07,0.000104898545661926,7.08456449948388
"FBgn0085424",0.0912992189770916,7.7030955373781,6.28578339856332,2.0293592435748e-07,0.000104898545661926,6.69105270245158
"FBgn0034638",-0.335232333095814,-0.294025910717306,-6.22939929070472,2.43122385716263e-07,0.000119958795315911,6.8812728314597
"FBgn0034025",0.0797270483863502,6.88177491355702,6.14293388391582,3.20778046070097e-07,0.000151393290873518,6.225640512174
"FBgn0052667",-0.568865065202381,-4.42946096749335,-6.04732413408861,4.35878628257937e-07,0.000190979425505779,5.65871594543505
"FBgn0011758",-0.109532312155111,3.59352299291841,-6.04450190597444,4.39842067033116e-07,0.000190979425505779,6.07825527666464
"FBgn0029707",0.335048738278295,-0.123349944534208,5.94975322975448,5.96050011157924e-07,0.000245310072331401,5.94074597618175
"FBgn0000061",0.231524863278483,5.14588096588455,5.94245499765508,6.10167844582941e-07,0.000245310072331401,5.66320564120039
"FBgn0028573",-0.647349548588643,-5.14596134667406,-5.85047980637838,8.19527620671823e-07,0.000317713297228309,5.13151207998365
"FBgn0033397",-0.482626885167711,-5.13682974875256,-5.80033413388986,9.62495440578059e-07,0.000360272000257753,4.91020377472064
"FBgn0259896",-0.494666715997566,1.56489280687041,-5.78834446590097,1.00021611045279e-06,0.000361911529298836,5.55846754648993
"FBgn0000577",0.118099651996811,6.53923137825645,5.751940790328,1.12403112243165e-06,0.000393592188193403,4.98263738622148
"FBgn0035308",0.127844361749901,4.068206669474,5.73643200483757,1.18132085726911e-06,0.000400726184551757,5.08289948401408
"FBgn0029003",-0.0658373681088,8.84250720030142,-5.70332950525775,1.31353620094944e-06,0.000432073801857763,4.88087745048265
"FBgn0038845",-0.606278167312314,-4.72296761167365,-5.60299876866344,1.81140149040819e-06,0.000578316564070028,4.46513769906131
"FBgn0025879",-0.11684308588075,3.77408292118325,-5.57028354244384,2.0113918548711e-06,0.000623818816703596,4.52337080900214
"FBgn0038420",0.313723999306201,1.7328076044468,5.53903678085532,2.22290812273658e-06,0.000670268546452933,4.77959981464507
"FBgn0085244",-0.603376293991272,-5.03209753370141,-5.41767199489383,3.27655367865338e-06,0.000920663720045661,3.95444296507215
"FBgn0268063",0.386286641809387,5.51002322806363,5.41410728813798,3.31407040359753e-06,0.000920663720045661,4.05168691471904
"FBgn0000406",-0.956364354691084,-3.81399357978652,-5.41174992993214,3.33911485601587e-06,0.000920663720045661,4.20553275883133
"FBgn0259163",0.0704014387792017,6.95962399058671,5.40677494185128,3.39258855843634e-06,0.000920663720045661,3.89326101626914
"FBgn0015773",0.127835631474388,4.65609086871993,5.37094018136777,3.80376380362269e-06,0.000984258802647362,3.84831056313285
"FBgn0028544",1.15700550308599,0.883781354968125,5.37056844216246,3.80827910743337e-06,0.000984258802647362,4.28127082282717
"FBgn0028950",-0.57278127580925,-5.21426094382165,-5.32064005947771,4.46578202692989e-06,0.00112495316069652,3.65333380096971
"FBgn0032482",0.0781723846568275,4.98885055676947,5.31271607705003,4.58003799964581e-06,0.00112495316069652,3.62415091667088
"FBgn0000658",0.128857224085528,7.41567193540738,5.29591687218543,4.83196307792489e-06,0.00112495316069652,3.54929925238131
"FBgn0053970",0.10323348947116,4.11806994119525,5.29543774498446,4.83934662822572e-06,0.00112495316069652,3.6895693400961
"FBgn0034054",0.0951760761735276,4.37090565659794,5.29340323372471,4.87082437150958e-06,0.00112495316069652,3.62329424890986
"FBgn0261534",-0.208253677515897,3.82462671693691,-5.27885879716966,5.10185821248693e-06,0.00115376397701137,3.59617040366918
"FBgn0035781",-1.0826721847527,-3.87319786305259,-5.26534166502128,5.32632052346839e-06,0.00117994304657652,3.79045272714254
"FBgn0038632",0.105015369950854,5.29472502685126,5.17462521384968,7.10844326919085e-06,0.00154324303374133,3.18116152899619
"FBgn0002931",0.114241532319278,4.40831222518353,5.11573816358392,8.57026647121571e-06,0.00182412240284405,3.09329839947995
"FBgn0038074",-0.614646500306648,-4.23939431173151,-5.09843235794032,9.05397823128618e-06,0.00189001795578099,3.24203062013218
"FBgn0025360",0.5663247284905,2.66450724706918,5.08829817582446,9.3497021452098e-06,0.00191492484502363,3.36278181370879
"FBgn0035886",-0.976128687079722,-0.222905474519531,-5.02316930897562,1.14922975474483e-05,0.00231016462736205,3.24947304986
"FBgn0031653",-0.952270568716553,-1.5334206607111,-4.98807525670601,1.28416074866896e-05,0.00253446635032756,3.16858242375489
"FBgn0036116",0.464347046447021,-2.07572363029902,4.98177693610405,1.30998543372438e-05,0.00253926640769253,3.04815487036704
"FBgn0039801",-0.440900012179305,-5.09139941503257,-4.9733833070919,1.34520203913496e-05,0.00255136595957035,2.69898793036116
"FBgn0036024",-0.922984877211977,-2.37260658520906,-4.96826996004903,1.36711339763427e-05,0.00255136595957035,3.09592294401686
"FBgn0036996",-0.908200535585103,-3.80896816883365,-4.96375827050469,1.38673967401797e-05,0.00255136595957035,2.95267831937863
"FBgn0001319",0.100391986032434,5.13845521006678,4.95382038942835,1.43095930533861e-05,0.00258884387657511,2.51827942278022
"FBgn0028526",-0.625328535499042,-4.90236954150156,-4.94612072074622,1.46617653008121e-05,0.00260907315311993,2.7094616950008
"FBgn0032896",-0.420544554961835,-5.37557333829044,-4.93977209197497,1.49585826080275e-05,0.0026189582937119,2.60686793599845
"FBgn0033926",-0.780824039382054,4.29186508400353,-4.92453368649499,1.56955008622491e-05,0.00267512192933318,2.74964955073778
"FBgn0013308",-0.401123298204042,-5.27284784616515,-4.92298745892742,1.57722527385835e-05,0.00267512192933318,2.56327350889603
"FBgn0036481",0.117950618378082,3.25375446809315,4.91471681856008,1.61891388180137e-05,0.00270358618260828,2.63393004608075
"FBgn0020307",0.178153383093435,6.0026726708502,4.79936595547277,2.32750459482969e-05,0.00382803975407217,2.03281249445225
"FBgn0036380",-0.497940265823201,-2.70251575364353,-4.7916352245172,2.38469321969068e-05,0.00386355894026005,2.43561671449984
"FBgn0039806",0.317258684873129,-2.02017325688338,4.78181202562822,2.4593660193868e-05,0.00392594384418289,2.47463407476369
"FBgn0039778",-0.904592706905941,-1.43692857270885,-4.74935971521407,2.7228454582884e-05,0.00428354890575661,2.46599628346747
"FBgn0035887",-1.08917639808661,-2.82528776562205,-4.732899997922,2.86693747533902e-05,0.00438872157078221,2.38340574912173
"FBgn0031561",-0.853775631340114,-4.14852052572029,-4.73201794841448,2.87486797528826e-05,0.00438872157078221,2.27066692964373
"FBgn0034785",0.106805160034311,2.88722180690528,4.72342307611071,2.95328596960615e-05,0.00438872157078221,1.80568958165541
"FBgn0024754",-0.100665492294978,6.47665071629554,-4.72323790104815,2.95499848172451e-05,0.00438872157078221,1.75968094666387
"FBgn0040496",0.179119546308204,3.68697659615846,4.71927848128152,2.99185072536051e-05,0.00438872157078221,1.93084299559079
"FBgn0010241",-0.498281935300916,-4.62882790232061,-4.67602315057523,3.42517636246472e-05,0.0049573719219406,2.02739640416734
"FBgn0004854",-0.0784557952212919,3.80732560089861,-4.6670579178451,3.52244334048148e-05,0.00503106874485874,1.7527057123305
"FBgn0034126",-0.249806763065962,-0.0509635633677456,-4.66209906552986,3.57740759477918e-05,0.00504321551186078,2.20142229736231
"FBgn0035667",-0.924772177106552,-2.48953245946636,-4.65735919132761,3.63073425584642e-05,0.00505277183938627,2.19700933988941
"FBgn0038700",-0.418143457369972,-5.20823582572269,-4.64784463002917,3.74015413293161e-05,0.00513916115354084,1.880407763527
"FBgn0039777",-1.0225409840297,-3.02495001025049,-4.62679703814677,3.99387874286801e-05,0.00540986661273629,2.083336788645
"FBgn0262139",0.176984826207798,5.5958068831101,4.62336393222352,4.03684196804827e-05,0.00540986661273629,1.49640098344715
"FBgn0031745",0.139955113378585,2.2421173266566,4.61802083493196,4.1046144940639e-05,0.00543360857720288,1.9331267671947
"FBgn0020300",0.120936715288349,3.82880683816326,4.59990010968353,4.34290865783811e-05,0.00567979198564249,1.62062493902803
"FBgn0051233",-0.635980436630656,-4.49390294177598,-4.55922816240594,4.92844937892086e-05,0.00636107715848455,1.7868767338877
"FBgn0034733",-0.511276465168181,-1.16557596282643,-4.55268441832126,5.02964714828729e-05,0.00636107715848455,1.83053696743769
"FBgn0043576",-0.755083527113953,-4.9803317182904,-4.55204546014831,5.03963736185786e-05,0.00636107715848455,1.74477331187047
"FBgn0031327",-0.115139800327295,4.71208353323056,-4.53793168984458,5.26535260645815e-05,0.00653182409004952,1.22236377876031
"FBgn0022359",-0.211980277410906,0.672231684502542,-4.5361063849485,5.29526043228335e-05,0.00653182409004952,1.77882020557056
"FBgn0003356",-0.995485910219771,-0.226651700227106,-4.53160078256992,5.3698021482971e-05,0.0065493485752545,1.82731918445775
"FBgn0002632",-0.145732630411587,4.09498444816537,-4.50865757657927,5.76567737043567e-05,0.00693337106601526,1.18300567741475
"FBgn0035512",0.915775987535814,0.437420265292155,4.50605219358297,5.81240688168944e-05,0.00693337106601526,1.7284953832749
"FBgn0038088",-0.103849122907031,3.18970341820945,-4.49128240557426,6.08443499294475e-05,0.00717897194004514,1.21083683375986
"FBgn0032136",-0.292284843899196,-0.371382938574014,-4.48084107509138,6.28425079229754e-05,0.00724200614973559,1.67412016809564
"FBgn0000055",-0.660766510594739,-0.585140418500365,-4.47650444121402,6.36912311775148e-05,0.00724200614973559,1.6849662793679
"FBgn0037230",-0.469073165027824,-4.74908260780341,-4.47592458784533,6.3805564403901e-05,0.00724200614973559,1.50457633463224
"FBgn0039155",0.0734842354599911,6.71965869688601,4.47470234821847,6.40472215913972e-05,0.00724200614973559,1.00834449462179
